material_id,topic,target_grade,model,output_path,rewritten_snippet,word_count,sentence_count,syllables,characters_no_spaces,characters_per_word,words_per_sentence,syllables_per_word,hard_words_count,hard_words_percent,flesch_kincaid_grade,automated_readability_index,gunning_fog,coleman_liau,smog_index,linsear_write,dale_chall_raw,dale_chall_grade_equiv,forcast_grade,spache_grade,arlc,fry_syllables_per_100,fry_sentences_per_100
AAA,Aaa,original,N/A,,,540,25,919,2791,5.1685185185185185,21.6,1.701851851851852,115,21.296296296296298,12.915851851851858,13.314644808743175,16.64,12.022962962962964,15.381575749822971,12.5,11.43323037037037,14.0,11.301115241635689,,13.509518826877082,170.1851851851852,4.62962962962963
CAD,Cad,original,N/A,,,430,21,756,2357,5.481395348837209,20.476190476190474,1.758139534883721,95,22.093023255813954,13.141760797342197,13.368869574378422,16.655592469545958,13.35953488372093,15.279682290573568,12.166666666666666,12.253351605758583,14.0,11.789838337182447,,13.720243127426272,175.8139534883721,4.883720930232558
DVT,Dvt,original,N/A,,,989,46,1748,5458,5.518705763397371,21.5,1.7674418604651163,224,22.649140546006066,13.65081395348837,14.5726326129666,17.295652173913044,13.70576339737108,15.763577286549996,14.2,12.685710920121336,14.0,11.445663010967099,,14.329262804407023,176.74418604651163,4.651162790697675
PAD,Pad,original,N/A,,,501,26,855,2654,5.297405189620759,19.26923076923077,1.7065868263473054,104,20.758483033932134,12.062724550898206,12.290048910626943,15.771564563181329,12.32375249500998,14.554592549557764,8.857142857142858,11.11626582220175,14.0,11.185258964143426,,12.630635611320063,170.65868263473055,5.189620758483033
VV,Vv,original,N/A,,,558,29,925,3022,5.415770609318996,19.24137931034483,1.657706093189964,85,15.232974910394265,11.475069830676059,12.647081407749738,13.216264985786678,13.085663082437279,12.909472586513996,7.0,11.891625101965147,14.0,11.720430107526882,,12.00674775008633,165.7706093189964,5.197132616487455
AAA,Aaa,6,gemini-2.5-pro,outputs\AAA\gemini-2.5-pro_g6.txt,"The aorta is the largest blood vessel in your body. It carries blood from your heart down through your chest and into your belly. The part in your belly sends blood to your legs, stomach, and kidneys.  An abdominal aortic aneurysm, or AAA, ",477,37,665,2081,4.362683438155137,12.891891891891891,1.3941299790356394,46,9.643605870020965,5.888571590458387,5.564184939656641,8.259482123633067,6.514465408805034,9.498858831193498,5.777777777777778,8.413778508697376,11.5,9.393305439330543,,7.799580763856868,139.41299790356393,7.756813417190776
AAA,Aaa,5,gemini-2.5-pro,outputs\AAA\gemini-2.5-pro_g5.txt,"The aorta is the largest blood vessel in your body. It carries blood from your heart down through your chest and into your belly. From your belly, it sends blood to your legs, stomach, and kidneys.  An abdominal aortic aneurysm, or AAA, is ",501,40,672,2150,4.291417165668663,12.525,1.341317365269461,30,5.9880239520958085,5.122294910179644,5.0450748502994,7.006007984031936,6.020758483033937,8.07648339933343,5.222222222222222,8.00825896207585,11.5,,,6.856120264157225,134.1317365269461,7.984031936127744
AAA,Aaa,4,gemini-2.5-pro,outputs\AAA\gemini-2.5-pro_g4.txt,"The aorta is the biggest blood vessel in your body. It carries blood from your heart down through your belly. It sends blood to your legs, stomach, and kidneys.  An abdominal aortic aneurysm, or AAA, is a weak spot in the wall of this blood",471,39,623,1994,4.233545647558387,12.076923076923077,1.3227176220806793,29,6.1571125265392785,4.728067940552016,4.548461538461538,6.699134411236322,5.527813163481952,8.055295364500962,5.111111111111111,7.789103495018782,9.5,,,6.309983361334844,132.27176220806794,8.280254777070063
AAA,Aaa,3,gemini-2.5-pro,outputs\AAA\gemini-2.5-pro_g3.txt,The aorta is the main blood vessel in your body. It carries blood from your heart down into your belly area. It sends blood to your legs and other parts of your body.  An abdominal aortic aneurysm is a weak spot in the aorta in your belly. ,486,41,624,2010,4.135802469135802,11.853658536585366,1.2839506172839505,22,4.526748971193416,4.183544113218911,3.97645889792231,5.976031315868714,5.046090534979427,7.313800181584829,4.6,7.603371504566898,9.5,,,5.799417863367742,128.39506172839506,8.436213991769549
AAA,Aaa,2,gemini-2.5-pro,outputs\AAA\gemini-2.5-pro_g2.txt,"The aorta is the biggest blood vessel in your body. It carries blood from your heart down into your belly. It sends blood to your legs, stomach, and kidneys.  An Abdominal Aortic Aneurysm is a weak spot in this blood vessel in your belly. W",416,35,540,1663,3.9975961538461537,11.885714285714286,1.2980769230769231,26,6.25,4.3627362637362666,3.3415350274725277,6.7735164835164845,4.268269230769231,8.052868069273774,4.6,7.2246131593406595,9.5,,,5.842703582109755,129.80769230769232,8.413461538461538
